Article Link ID,Articles,Name of tournament,Wikipedia link of the Tournament,Header  image ,Short summary of the article,First edition Year,Format of the tournament,Current champions,Article Code for Current Champions,Most successful Team,Article Code for Most successful Team,Tournament year 1,Tournament Year 1 Card,Hosts,Winners,Winner Card,Runners,Tournament year 2,Tournament Year 2 Card,Hosts,Winners,Winner Card,Runners,Tournament year 3,Tournament Year 3 Card,Hosts,Winners ,Winner Card,Runners,Tournament year 4,Tournament Year 4 Card,Hosts,Winners,Winner Card,Runners,Tournament year 5,Tournament Year 5 Card,Hosts,Winners,Winner Card,Runners,Tournament year 6,Tournament Year 6 Card,Hosts,Winners,Winner Card,Runners,Tournament year 7,Tournament year 7 Card,Hosts,Winners,Winner Card,Runners,Tournament year 8,Tournament year 8 Card,Hosts,Winners,Winner Card,Runners,Tournament year 9,Tournament Year 9 Card,Hosts,Winners,Winner Card,Runners,Tournament year 10,Tournament Year 10 Card,Hosts,Winners,Winner Card,Runners,Tournament year 11,Tournament Year 11 Card,Hosts,Winners,Winner Card,Runners,Tournament year 12,Tournament Year 12 Card,Hosts,Winners,Winner Card,Runners,Year 1,Title 1,Short description 1,Card 1 ID,Year 2,Title 2,Short description 2,Card 2 ID,Year 3,Title 3,Short description 3,Card 3 ID,Year 4,Title 4,Short description 4,Card 4 ID,Most Runs scored- Name of the player,Country of the player,Link to image of the player,Most wickets taken - Name of the player,Country of the player,Link to image of the player
P11,"Major tournament article (World Cup, ICC Champions trophy, IPL, ICC T20)",Indian Premier League,https://en.wikipedia.org/wiki/Indian_Premier_League,https://en.wikipedia.org/wiki/Indian_Premier_League#/media/File:Indian_Premier_League_Logo.png,The Indian Premier League (IPL) is a professional Twenty20 cricket league in India contested during March or April and May of every year by eight teams representing eight different cities in India.,2008,T20,Chennai Super Kings (3rd title),R5,Chennai Super Kings and Mumbai Indians(each 3 titles),"R5,R7",2008,P19,New Delhi,Rajasthan Royals (1st title),R11,Chennai Super Kings,2009,P20,South Africa,Deccan Chargers (1st title),R12,Royal Challengers Bangalore,2010,P12,India,Chennai Super Kings (1st title),R5,Mumbai Indians,2011,P13,India,Chennai Super Kings (2nd title),R5,Royal Challengers Bangalore,2012,P21,India,Kolkata Knight Riders (1st title),R10,Chennai Super Kings,2013,P22,India,Mumbai Indians (1st title),R7,Chennai Super Kings,2014,P23,"India, UAE",Kolkata Knight Riders (2nd title),R10,Kings XI Punjab,2015,P24,India,Mumbai Indians (2nd title),R7,Chennai Super Kings,2016,P14,India,Sunrisers Hyderabad (1st title),R12,Royal Challengers Bangalore,2017,P15,India,Mumbai Indians (3rd title),R7,Rising Pune Supergiant,2018,P25,India,Chennai Super Kings (3rd title),R5,Sunrisers Hyderabad,,,,,,,2007,Foundation,"The BCCI announced the launch of a franchise-based Twenty20 cricket competition called Indian Premier League whose first season was slated to start in April 2008, in a ""high-profile ceremony"" in New Delhi.",P19,2008 - 2012,Title sponsorship,"From 2008 to 2012, the title sponsor was DLF, India's largest real estate developer, who had secured the rights with a bid of ₹200 crore for five seasons.",,2015,Replacements,"On 8 December 2015, following an auction, it was revealed that Pune and Rajkot would replace Chennai and Rajasthan for two seasons.",,,,,,Virat Kohli ,India,https://en.wikipedia.org/wiki/Virat_Kohli#/media/File:Virat..Kohli.jpg,Lasith Malinga,Sri Lanka,https://en.wikipedia.org/wiki/Lasith_Malinga#/media/File:LASITH_MALINGA_(5155175549).jpg
P9,"Major tournament article (World Cup, ICC Champions trophy, IPL, ICC T20)",ICC T20 World Cup,https://en.wikipedia.org/wiki/ICC_T20_World_Cup,https://en.wikipedia.org/wiki/ICC_T20_World_Cup#/media/File:ICC_World_Twenty20_Trophy.jpg,"The ICC T20 World Cup (earlier known as ICC World Twenty20) is the international championship of Twenty20 International cricket. The tournament currently consists of 16 teams, comprising the top eight teams from the rankings at the given deadline and four other teams chosen through the T20 World Cup Qualifier. ",2007,Preliminary round Super 10/12 Play-offs,West Indies (2nd title),R3,West Indies (2 titles),R3,2007,,South Africa,India (1st title),R1, Pakistan,2009,,England,Pakistan (1st title),R8, Sri Lanka,2010,,West Indies,England (1st title),R4,Australia,2012,,Sri Lanka,West Indies (1st title),R3,Sri Lanka,2014,,Bangladesh,Sri Lanka (1st title),R13, India,2016,,India,West Indies (2nd title),R3,England,2020,,Australia,,,,2021,, India,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Background,"When the Benson & Hedges Cup ended in 2002, cricketing authorities were looking to boost the game's popularity with the younger generation in response to dwindling crowds and reduced sponsorship. It was intended to deliver fast-paced, exciting cricket accessible to thousands of fans who were put off by the longer versions of the game. a 20 over per innings game was proposed and voted 11–7 in favour of adopting the new format.",,2006,Domestic tournaments,"The West Indies regional teams competed in what was named the Stanford 20/20 tournament. The event was financially backed by convicted fraudster Allen Stanford, who gave at least US$28,000,000 funding money, the fruit of his massive Ponzi scheme.",,2007,Inaugural tournaments,"It was first decided that every two years an ICC World Twenty20 tournament is to take place, except in the event of a Cricket World Cup being scheduled in the same year, in which case it will be held the year before. The first tournament was in 2007 in South Africa ",G6,2012-,Expansion to 16 teams,"The 2012 edition was to be expanded into a 16 team format however this was reverted to 12. The 2014 tournament, held in Bangladesh was the first to feature 16 teams including all ten full members",,Mahela Jayawardene,Sri Lanka,https://en.wikipedia.org/wiki/Mahela_Jayawardene#/media/File:Mahela_Jayawardene_3.JPG,Shahid Afridi ,Pakistan,https://en.wikipedia.org/wiki/Shahid_Afridi#/media/File:Shahid_Afridi_in_2017.jpg
P10,"Major tournament article (World Cup, ICC Champions trophy, IPL, ICC T20)",ICC Champions Trophy,https://en.wikipedia.org/wiki/ICC_Champions_Trophy,https://en.wikipedia.org/wiki/ICC_Champions_Trophy#/media/File:ICC_Champions_Trophy_cricket_logo.png,"The ICC Champions Trophy was a one day international (ODI) cricket tournament organised by the International Cricket Council (ICC), second in importance only to the Cricket World Cup. Its name was changed to the Champions Trophy in 2002.",1998,One Day International,Pakistan (1st title),R8,"Australia, India (2 Titles Each)","R2,R1",1998,,Bangladesh,South Africa (1st title),R14,West Indies,2000,,Kenya,New Zealand (1st title),R15,India,2002,,Sri Lanka,India (1st title); Sri Lanka (1st title) (Joint Winners),"R1, R13",-,2004,,England,West Indies (1st title),R3,England,2006,,India	 ,Australia (1st title) ,R2,West Indies,2009,,South Africa,Australia (2nd title),R2,New Zealand,2013,,"England, Wales",India,R1,England,2017,,"England, Wales",Pakistan (1st title),R8,India,,,,,,,,,,,,,,,,,,,,,,,,,1998,ICC Knockout Tournament,It was inaugurated as the ICC KnockOut Tournament in 1998 and has been played approximately every four years since. Its name was changed to the Champions Trophy in 2002,,2002,Idea conception,"The ICC conceived the idea of the Champions Trophy – a short cricket tournament to raise funds for the development of the game in non-test playing countries, with the first tournaments being held in Bangladesh and Kenya.",,,2013 ICC Champions Trophy,"In the lead-up to the 2013 tournament, the ICC announced that the 2013 Champions Trophy was to be the last, with its place in the cricketing calendar to be taken by a new ICC World Test Championship. However, in January 2014, that decision was reversed, due to the massive success of the 2013 edition",,2017,Future of Champions Trophy,"In the lead-up to the 2017 tournament, the ICC had proposed starting an ODI League in 2019, which will most likely lead to the Champions Trophy getting scrapped. Following the 2017 Champions Trophy, David Richardson (the ICC CEO) stated that the future status of the Champions Trophy was undecided, with both a possible Test league and an additional World T20 putting additional pressure of fixtures.",,Chris Gayle,Jamaica,https://en.wikipedia.org/wiki/Chris_Gayle#/media/File:ChrisGayle_Cropped.jpg,Kyle Mills,New Zealand,https://en.wikipedia.org/wiki/Kyle_Mills#/media/File:Kyle_Mills.JPG
