No,Title,Short description,Image Link,Image caption
SF70,டுவைன் பிராவோ,"டுவைன் ஜான் பிராவோ ஒரு முன்னாள் டிரினிடிடியன் கிரிக்கெட் வீரர் ஆவார். இவர் அனைத்து வகையான கிரிக்கெட்டிலும் வெஸ்ட் இண்டீஸ் அணியின் முன்னாள் கேப்டனாக இருந்துள்ளதுடன், சென்னை சூப்பர் கிங்ஸ் மற்றும் குவெட்டா கிளாடியேட்டர்களுக்காக லீக் கிரிக்கெட்டும் ஆடுகிறார். ஓர் ஆல்ரவுண்டராக, பிராவோ வலது கை பேட்ஸ்மேன் மற்றும் வலது கை மிதவேக பந்துவீச்சாளர் ஆவார்.",https://en.wikipedia.org/wiki/Dwayne_Bravo#/media/File:Dwayne_Bravo_2010.jpg,டுவைன் பிராவோ
SF71,க்ளென் மேக்ஸ்வெல்,"க்ளென் ஜேம்ஸ் மேக்ஸ்வெல் ஓர் ஆஸ்திரேலிய சர்வதேச கிரிக்கெட் வீரர் ஆவார், இவர் தற்போது ஆஸ்திரேலியாவுக்காக ஒருநாள் மற்றும் ட்வென்டி20 கிரிக்கெட் ஆடுகிறார். இவர் ஆஸ்திரேலியாவுக்காக டெஸ்ட் கிரிக்கெட்டும் ஆடியுள்ளார். ஆஸ்திரேலிய உள்ளூர் கிரிக்கெட்டில் விக்டோரியா மற்றும் மெல்போர்ன் ஸ்டார்ஸ் அணிக்காகவும், ஆங்கில கவுண்டி கிரிக்கெட்டில் லங்காஷயர் கவுன்டி கிரிக்கெட் கிளப்புக்காகவும் ஆடுகிறார்.",https://en.wikipedia.org/wiki/Glenn_Maxwell#/media/File:Glenn_Maxwell_3.jpg,க்ளென் மேக்ஸ்வெல்
SF72,மோஹித் சர்மா,"மோஹித் மஹிபால் சர்மா (செப்டம்பர் 18, 1988-ல் பிறந்தவர்) ஓர் இந்திய கிரிக்கெட் வீரர் ஆவார். இவர் வலது கை மித-வேக பந்து வீச்சாளர்.",,
SF73,மைக் ஹஸ்ஸி,"மைக்கேல் எட்வர்ட் கில்லீன் ஹஸ்ஸி (மே 27, 1975-இல் பிறந்தவர்) மைக் ஹஸ்ஸி எனவும் அழைக்கப்படும் இவர் ஆஸ்திரேலிய கிரிக்கெட் பயிற்சியாளர், வர்ணனையாளர் மற்றும் அனைத்து வகையான ஆட்டங்களையும் ஆடிய முன்னாள் சர்வதேச கிரிக்கெட் வீரர் ஆவார். ஹஸ்ஸி, தனது புனைப்பெயரான 'மிஸ்டர் கிரிக்கெட்' மூலம் பரவலாக அறியப்படுகிறார்.",https://en.wikipedia.org/wiki/Michael_Hussey#/media/File:Mike_Hussey_3.jpg,"மைக் ஹஸ்ஸி, அடிலெய்ட் ஓவலில் உள்ள ஒரு பயிற்சி அமர்வில்"
SF74,நாதன் ஆஸ்லே,"நாதன் ஜான் ஆஸ்லே எம்என்இசட்எம் (செப்டம்பர் 15, 1971-இல் பிறந்தவர்) அனைத்து வகையான போட்டிகளிலும் ஆடிய ஒரு முன்னாள் நியூசிலாந்து கிரிக்கெட் வீரர் ஆவார்.",https://en.wikipedia.org/wiki/Nathan_Astle#/media/File:Australia_vs._New_Zealand_(cropped).jpg,ஆஸ்திரேலியா எதிராய் நியூசிலாந்து
SF75,ரோஸ் டைலர்,"லுட்டூரோ ரோஸ் பூட்டோ லொட் டெய்லர் (மார்ச் 8, 1984-இல் பிறந்தவர்) நியூசிலாந்து கிரிக்கெட் வீரர் ஆவார். இவர் அனைத்து வகையான கிரிக்கெட் போட்டிகளிலும் நான்காவது வீரராக களம் இறங்குகிறார். டெய்லர் நியூசிலாந்தைப் பிரதிநிதித்துவப்படுத்தும் சிறந்த வீரர்களில் ஒருவராகக் கருதப்படுகிறார்.",https://en.wikipedia.org/wiki/Ross_Taylor#/media/File:Ross_Taylor_(6159940521)_(cropped).jpg,"ரோஸ் டைலர், இந்தியா நியூசிலாந்து ஒரு நாள் சர்வதேச போட்டி, 10 டிசம்பர் 2010"
SF76,டேவிட் கோவர்,"டேவிட் ஐவோன் கோவர் ஓபிஇ (1 ஏப்ரல், 1957-இல் பிறந்தவர்) ஒரு பிரிட்டிஷ் கிரிக்கெட் வர்ணனையாளரும், முன்னாள் கிரிக்கெட் வீரருமான இவர், 1980களில் இங்கிலாந்தின் கிரிக்கெட் அணியின் கேப்டனாக இருந்தவர். அவரது காலத்தில் மிகவும் ஸ்டைலான இடதுகை பேட்ஸ்மேனாக திகழ்ந்த கோவர், 117 டெஸ்ட் போட்டிகளிலும் 114 ஒருநாள் சர்வதேச போட்டிகளிலும் (ஓடிஐ) ஆடியுள்ளார்.",https://en.wikipedia.org/wiki/David_Gower#/media/File:David_Gower.jpg,"சிட்னி கிரிக்கெட் மைதானத்தில், ஆஸ்திரேலியா, 2007."
SF77,ரோஜர் பின்னி,ரோஜர் மைக்கேல் ஹம்ப்ரி பின்னி (19 ஜூலை 1955-இல் பிறந்தவர்) ஒரு முன்னாள் இந்திய கிரிக்கெட் வீரர் ஆவார். இந்தியாவுக்கு 27 டெஸ்ட் மற்றும் 72 ஒருநாள் போட்டிகளில் விளையாடியுள்ளார்.,https://en.wikipedia.org/wiki/Roger_Binny#/media/File:Roger_Binny_2018.jpg,பெங்களூரில் உள்ள பிரிட்டிஷ் நூலகத்தில் 2018-இல் ரோஜர் பின்னி
SF78,கார்டன் கிரீனிட்ஜ்,"குத்பெர்ட் கார்டன் கிரீனிட்ஜ் எம்பிஇ. (மே 1, 1951-இல் பிறந்தவர்) ஒரு முன்னாள் பார்பாரியன் முதல் தர கிரிக்கெட் வீரர் ஆவார், இவர் டெஸ்ட் மற்றும் ஒருநாள் சர்வதேசப் போட்டிகளில் 17 ஆண்டுகள் வெஸ்ட் இண்டீஸ் அணிக்காக விளையாடியுள்ளார்.",N/A,ஒன்றுமில்லை
SF79,மைக் ஹென்ட்ரிக்,"மைக்கேல் ஹென்ட்ரிக் (அக்டோபர் 22 1948-இல் பிறந்தவர்), இங்கிலாந்து அணியின் ஒரு முன்னாள் கிரிக்கெட் வீரர் ஆவார். இவர் 1973 முதல் 1981 வரை இங்கிலாந்தில் முப்பது டெஸ்ட் மற்றும் இருபத்து இரண்டு ஒருநாள் போட்டிகளில் விளையாடியுள்ளார். 1969 முதல் 1981 வரை டெர்பிஷையருக்கும், 1982 முதல் 1984 வரை நாட்டிங்ஹாம்ஷையருக்கும் ஆடினார்.",N/A,ஒன்றுமில்லை
SF80,க்ளென் டர்னர்,க்ளென் மைட்லண்ட் டர்னர் (26 மே 1947-இல் பிறந்தவர்) நியூசிலாந்து அணிக்காக கிரிக்கெட் ஆடினார் மற்றும் அந்நாட்டின் மிகச் சிறந்த பேட்ஸ்மேனாக விளங்கினார். இவர் நியூசிலாந்து கிரிக்கெட் தேர்வு குழுவின் தற்போதைய தலைவராக உள்ளார்.,N/A,ஒன்றுமில்லை
SF81,கேரி கில்மோர்,"கேரி ""கஸ்"" ஜான் கில்மோர் (26 ஜூன் 1951 - 10 ஜூன் 2014) ஓர் ஆஸ்திரேலிய கிரிக்கெட் வீரர் ஆவார். இவர் 1973 முதல் 1977 வரை 15 டெஸ்ட் மற்றும் 5 ஒருநாள் சர்வதேச போட்டிகளில் (ஓடிஐ) விளையாடியுள்ளார்.",N/A,ஒன்றுமில்லை
SF82,ஆண்ட்ரூ ஃப்ளின்டாஃப்,"ஆண்ட்ரூ ""ஃப்ரெட்டி"" பிளின்டாஃப் எம்பிஇ (6 டிசம்பர் 1977-இல் பிறந்தவர்) ஓர் ஆங்கில தொகுப்பாளர் மற்றும் முன்னாள் சர்வதேச கிரிக்கெட் வீரர் ஆவார். முதலாவது லங்காஷயருக்காக விளையாடும் போது, ஒரு வேகப்பந்து வீச்சாளராகவும், மிடில் ஆர்டர் பேட்ஸ்மேனாகவும், ஸ்லிப் ஃபீல்டராகவும், ஒரு முன்னணி ஆல்ரவுண்டராக வலம் வந்தார்.",https://en.wikipedia.org/wiki/Andrew_Flintoff#/media/File:Andrew_Flintoff.jpg,அடிலெய்டு ஓவலில் பயிற்சிக்குப் பிறகு ஆண்ட்ரூ பிளின்டாஃப்
SF83,ஜோ ரூட்,"ஜோசப் எட்வர்ட் ரூட் (டிசம்பர் 30, 1990-இல் பிறந்தவர்), இங்கிலாந்து அணியின் சர்வதேச கிரிக்கெட் வீரராகவும், அந்த அணியின் தற்போதைய கேப்டனாகவும் உள்ளார். இவர் உள்நாட்டில் யார்க்ஷயர் அணிக்காக விளையாடியுள்ளார். இவர் பலமுறை உலகில் சிறந்த பேட்ஸ்மேன்களில் ஒருவராக மதிப்பிடப்படுகிறார்.",https://en.wikipedia.org/wiki/Joe_Root#/media/File:Joe_root_training.jpg,ஆஸ்திரேலியாவில் பயிற்சியில் ஜோ ரூட்
SF84,கெவின் பீட்டர்சன்,"கெவின் பீட்டர் பீட்டர்சன் எம்பிஇ (27 ஜூன், 1980-இல் பிறந்தவர்) ஓர் இங்கிலாந்து கிரிக்கெட் அணியின் முன்னாள் வீரர் ஆவார். இவர் ஒரு வலது கை பேட்ஸ்மேன் மற்றும் அவ்வப்போது ஸ்பின் பந்து வீச்சாளராகவும் இருந்தார். 2005 முதல் 2014 வரை இங்கிலாந்துக்காக அனைத்து வகையான கிரிக்கெட் போட்டிகளிலும் விளையாடியுள்ளார்.",https://en.wikipedia.org/wiki/Kevin_Pietersen#/media/File:Kevin_Pietersen_2014.jpg,கெவின் பீட்டர்சன் 2014-இல்
SF86,கைல் மில்ஸ்,"கைல் டேவிட் மில்ஸ் (மார்ச் 15, 1979-ல் பிறந்தவர்), நியூசிலாந்து கிரிக்கெட் அணியின் ஒருநாள் போட்டிகளில் கேப்டனாக பணியாற்றிய முன்னாள் சர்வதேச கிரிக்கெட் வீரர் ஆவார். மில்ஸ் ஆல்ரவுண்டராக 1998 முதல் 2015 வரை டாப் கிளாஸ் கிரிக்கெட் ஆடியுள்ளார்.",https://en.wikipedia.org/wiki/Kyle_Mills#/media/File:Kyle_Mills.JPG,கைல் மில்ஸ்
SF87,ஆண்ட்ரூ டை,"ஆண்ட்ரூ ஜேம்ஸ் டை (டிசம்பர் 12, 1986-இல் பிறந்தவர்) ஆஸ்திரேலிய தேசிய கிரிக்கெட் அணிக்காக ஒருநாள் சர்வதேச (ஓடிஐ) போட்டிகளிலும், சர்வதேச டுவன்டி20 (டி20) போட்டிகளிலும் விளையாடும் ஆஸ்திரேலிய கிரிக்கெட் வீரர் ஆவார். இவர் பந்தின் வேகத்தை மாற்றுவதில் மிகவும் பிரபலமானவர்.","https://en.wikipedia.org/wiki/Andrew_Tye#/media/File:2018.02.03.20.38.56-AUSvNZL_T20_NZL_innings,_SCG-0001_(38618205890)_(Tye_cropped).jpg",ஆண்ட்ரூ டை
SF88,சுரேஷ் ரெய்னா,"சுரேஷ் குமார் ரெய்னா (27 நவம்பர் 1986-இல் பிறந்தவர்) ஓர் இந்திய சர்வதேச கிரிக்கெட் வீரர் ஆவார். ஒரு தீவிர இடதுகை நடு வரிசை பேட்ஸ்மேன் மற்றும் அவ்வப்போது ஆஃப் ஸ்பின் பந்து வீச்சாளராகவும் செயல்படுகிறார், இவர் உலக கிரிக்கெட்டில் சிறந்த ஃபீல்டர்களில் ஒருவராகவும் கருதப்படுகிறார்.",https://en.wikipedia.org/wiki/Suresh_Raina#/media/File:Suresh_Raina1.jpg,இந்திய கிரிக்கெட் வீரர் சுரேஷ் ரெய்னா
SF89,ஸ்டீவ் ஸ்மித்,"ஸ்டீவன் பீட்டர் டெவிரெக்ஸ் ஸ்மித் (2 ஜூன் 1989-இல் பிறந்தவர்) ஓர் ஆஸ்திரேலிய சர்வதேச கிரிக்கெட் வீரரும், ஆஸ்திரேலிய தேசிய அணியின் முன்னாள் கேப்டனும் ஆவார். டிசம்பர் 30, 2007 அன்று, 947 எனும் டெஸ்ட் பேட்டிங் தரவரிசையை எட்டினார், இது எல்லா நேரத்திற்கும் இரண்டாவது உயர்ந்ததாகும்.","https://en.wikipedia.org/wiki/Steve_Smith_(cricketer)#/media/File:Steve_Smith_(cricketer),_2014_(cropped).jpg",ஸ்டீவ் ஸ்மித்
SF90,ரவிச்சந்திரன் அஷ்வின்,"ரவிச்சந்திரன் அஷ்வின் (17 செப்டம்பர் 1986-இல் பிறந்தவர்) ஓர் இந்திய சர்வதேச கிரிக்கெட் வீரர் ஆவார். பவுலரான இவர் வலது கை பேட்ஸ்மேன் மற்றும் வலது கை ஆஃப் ஸ்பின்னர். உள்நாட்டு கிரிக்கெட் போட்டியில் தமிழ்நாட்டு அணிக்காக ஆடுகிறார், ஐபிஎல்லில் கிங்ஸ் XI பஞ்சாப் அணிக்கு கேப்டனாக இருக்கிறார்.",https://en.wikipedia.org/wiki/Ravichandran_Ashwin#/media/File:Ravichandran_Ashwin_(cropped).jpg,2014 ம் ஆண்டு சியெட் கிரிக்கெட் தரவரிசை விருது வழங்கும் விழாவில் விவிஎஸ். லக்ஷ்மனிடமிருந்து விருதைப் பெறும் அஸ்வின்.
SF91,ப்ரித்வி ஷா,"ப்ரித்வி பங்கஜ் ஷா (நவம்பர் 9, 1999-இல் பிறந்தவர்) ஓர் இந்திய கிரிக்கெட் வீரரும், முன்னாள் இந்திய தேசிய 19 வயதுக்குட்பட்ட கிரிக்கெட் அணியின் கேப்டனும் ஆவார்.",no image available,
SF92,ரிஷப் பண்ட்,"ரிஷப் ராஜேந்திர பண்ட் (அக்டோபர் 4, 1997-இல் பிறந்தவர்) இந்தியா, டெல்லி மற்றும் டெல்லி கேபிடல்ஸ் அணிக்காக ஆடிய ஒரு தொழில்முறை இந்திய கிரிக்கெட் வீரர் ஆவார். டிசம்பர் 2015-இல், இவர் 2016 ஆம் ஆண்டின் 19 வயதுக்குட்பட்ட உலகக் கோப்பைக்கான இந்திய அணியில் சேர்க்கப்பட்டார்.",no image available,
SF93,ஸ்ரேயாஸ் ஐயர்,"ஸ்ரேயாஸ் சந்தோஷ் ஐயர் (டிசம்பர் 6, 1994-இல் பிறந்தவர்) ஓர் இந்திய கிரிக்கெட் வீரர் ஆவார், இவர் தற்போது ஐபிஎல்லில் டில்லி கேபிடல்ஸ் அணியின் கேப்டனாக உள்ளார். வலது கை மேல் வரிசை பேட்ஸ்மேனாக, ஐயர் இந்திய தேசிய கிரிக்கெட் அணிக்கான ஒருநாள் மற்றும் டுவன்டி20 சர்வதேச போட்டிகளில் விளையாடியுள்ளார்.",no image available,
SF94,போக்ரா,"அதிகாரப்பூர்வமாக போகுரா என அறியப்படுகிற போக்ரா, வங்காளதேசத்தின் ராஜஷாஹி பிரிவில் அமைந்துள்ள போக்ரா மாவட்டத்தில் உள்ள ஒரு முக்கிய நகரம் ஆகும். 1279 முதல் 1282 வரை வங்காளத்தின் ஆளுநராக இருந்த நசிருதீன் புக்ரா கான் என்பவரின் பெயரைப் பெற்றது.",https://en.wikipedia.org/wiki/Bogra#/media/File:Bogra_Sathmatha.jpg,போக்ரா சத்மாதா (போக்ராவின் இதயம்)
SF95,காலே,"காலே (முன்னர் பாயிண்ட் டி காலே எனப்பட்டது), கொழும்பில் இருந்து 119 கிமீ தொலைவில் தென்மேற்கு முனையில் இலங்கையின் முக்கிய நகரமாக அமைந்துள்ளது. போர்ச்சுகீசிய கட்டிடக்கலைப் பாணிகளுக்கும், சொந்த பாரம்பரியங்களுக்கும் இடையிலான தொடர்புகளைக் காட்டுவதன் மூலம் தெற்கிலும் தென்கிழக்கு ஆசியாவிலும் போர்த்துகீசியர்களால் கட்டப்பட்ட ஒரு வலுவான நகரத்திற்குச் சிறந்த எடுத்துக்காட்டாக திகழ்கிறது.",https://en.wikipedia.org/wiki/Galle#/media/File:GalleLighthouse.JPG,காலே கோட்டையில் கலங்கரை விளக்கம்
SF96,நங்கர்ஹர்,"ஆப்கானிஸ்தானின் 34 மாகாணங்களில் ஒன்றான நின்ராஹர் எனவும் அழைக்கப்படுகிற நங்கார்ஹர், நாட்டின் கிழக்குப் பகுதியில் அமைந்துள்ளது. இது இருபத்தி-இரண்டு மாவட்டங்களாக பிரிக்கப்பட்டுள்ளது மற்றும் சுமார் 1,436,000 மக்கள் தொகையைக் கொண்டுள்ளது.",https://en.wikipedia.org/wiki/Nangarhar_Province#/media/File:Branches_of_the_Kunar_River_meet_in_Nangarhar_Province.jpg,குனார் நதியின் கிளைகள் நங்கார்ஹரில் உள்ள காபூல் நதியுடன் சந்திக்கின்றன
SF97,சியால்கோட்,"சியால்கோட், பாகிஸ்தானின் பஞ்சாப்பிலுள்ள ஒரு நகரமாகும். இது வடகிழக்கு பஞ்சாபில் அமைந்துள்ளது - இது பாகிஸ்தானின் மிகவும் தொழில்மயமான பகுதிகளில் ஒன்றாகும்.",https://en.wikipedia.org/wiki/Sialkot#/media/File:Jagannath_Hindu_Temple_Sialkot.jpg,சியால்கோட்டில் உள்ள ஜகன்னாத் கோவில் இந்து கடவுளான ஜகன்னாதனுக்கு அர்ப்பணிக்கப்பட்டுள்ளது.
SF98,அயோத்தி,"அயோத்தி, உத்தரப்பிரதேச மாநிலத்தின் ஃபைசாபாத் மாவட்டத்தில் அமைந்துள்ள நகரம் ஆகும். அயோத்தியின் புகழ்பெற்ற நகரத்துடன் இந்நகரம் அடையாளம் காணப்பட்டுள்ளது, மேலும் இது ராமரின் பிறப்பிடமாகவும், ராமாயண காவியத்தின் அமைவிடமாகவும் உள்ளது.",https://en.wikipedia.org/wiki/Ayodhya#/media/File:Kanak_Bhawan.jpg,ராமர் மற்றும் அவரது தேவி சீதாவுக்கு அர்ப்பணிக்கப்பட்ட அயோத்தியில் உள்ள மிக முக்கியமான கோயில்களில் ஒன்றான 'கனக் பவன்' ஆகும்.
SF99,ஜோகன்னஸ்பர்க்,"ஜோகன்னஸ்பர்க் (ஜோசி, ஜோபர்க் மற்றும் ஈகோலி என்றும் அறியப்படுகிறது) தென்னாப்பிரிக்காவின் மிகப்பெரிய நகரமாகவும், உலகின் 50 மிகப்பெரிய நகர்ப்புற பகுதிகளில் ஒன்றாகவும் திகழ்கிறது.",https://en.wikipedia.org/wiki/Johannesburg#/media/File:Johannesburg_view_topofCC_03.jpg,ஜோகன்னஸ்பர்க் மத்திய வணிக மாவட்டம்
SF100,வெஸ்ட் இண்டீஸ் கிரிக்கெட் அணி,"பாரம்பரியமாக வென்டிஸ் (இந்த புனைப்பெயர் ஜூன் 2017 இல் அதிகாரப்பூர்வமாக மாறியது) என அறியப்படுகிற மேற்கிந்தியத் தீவுகள் கிரிக்கெட் அணி, ஆங்கிலோஃபோன் கரீபியன் பகுதியைக் குறிக்கிற ஒரு பன்னாட்டு கிரிக்கெட் அணி ஆகும்.",https://en.wikipedia.org/wiki/West_Indies_cricket_team#/media/File:West_indies_cricket_board_flag.png,மேற்கிந்திய தீவுகள் கிரிக்கெட் வாரிய கொடி
