No,Title,Short description,Image Link,Image caption
SF49,ரிக்கி பாண்டிங்,"ரிக்கி தாமஸ் பாண்டிங், ஏஓ ஆஸ்திரேலிய கிரிக்கெட் வர்ணனையாளர் மற்றும் முன்னாள் கிரிக்கெட் வீரர் ஆவார், 2003 மற்றும் 2007 ஆம் ஆண்டுகளில் இரண்டு முறை உலகக் கோப்பை வென்ற கேப்டன் ஆவார், எல்லா காலத்திலும் பரவலாக சிறந்த பேட்ஸ்மேன்களில் ஒருவராக கருதப்படுகிறார். 2004 மற்றும் 2011 ஆம் ஆண்டுகளில் டெஸ்ட் போட்டிகளில் மற்றும் 2002 மற்றும் 2011 ஆம் ஆண்டுகளில் ஒருநாள் சர்வதேச போட்டிகளில் என அதன் ’பொற்காலத்தின்’ போது ஆஸ்திரேலிய தேசிய அணியின் கேப்டனாக பாண்டிங் இருந்தார்.",https://en.wikipedia.org/wiki/Ricky_Ponting#/media/File:Ricky_Ponting_2015.jpg,ரிக்கி பாண்டிங்
SF50,ட்ரெவர் பேலிஸ்,"ட்ரெவர் ஹார்லி பேலிஸ் ஓர் ஆஸ்திரேலிய கிரிக்கெட் பயிற்சியாளர் மற்றும் முன்னாள் முதல் தர கிரிக்கெட் வீரர் ஆவார். பயிற்சியாளர் ஆவதற்கு முன் 1985 முதல் 1997 வரை அவர் நியூ சவுத் வேல்ஸ் அணிக்காக ஆடியுள்ளார். பேலிஸ் தற்போது இங்கிலாந்து அணியின் பயிற்சியாளராக உள்ளார். இவர் 2007 முதல் 2011 வரை இலங்கை அணிக்குப் பயிற்சியாளராக இருந்தார், அப்போது 2011 ஆம் ஆண்டு உலகக் கோப்பைப் போட்டியில் இலங்கை ரன்னர்-அப் ஆக வந்தது.",no image available,ஒன்றுமில்லை
SF51,இம்ரான் கான்,"இம்ரான் அஹ்மத் கான் நியாஸி எச்ஐ பிபி ஒரு பாகிஸ்தான் அரசியல்வாதி மற்றும் முன்னாள் சர்வதேச கிரிக்கெட் வீரர் ஆவார், இவர் பாகிஸ்தானின் 22 வது மற்றும் தற்போதைய பிரதமராக பதவி வகிக்கிறார்.",https://en.wikipedia.org/wiki/Imran_Khan#/media/File:Mike_Pompeo_with_Imran_Khan_in_Islamabad_-_2018_(29559549217)_(cropped).jpg,இம்ரான் கான்
SF52,சமிந்தா வாஸ்,"சமிந்தா வாஸ் என்று மிகப் பரவலாக அறியப்பட்ட வர்ணகுலசூரியா படபன்டிஜே உஷாந்த ஜோசப் சமிந்தா வாஸ், முன்னாள் சர்வதேச கிரிக்கெட் வீரர் ஆவார். இவர் அனைத்து வகையான போட்டிகளிலும் ஆடிய முன்னாள் ஒருநாள் கேப்டன் ஆவார். ‘இலங்கையால் உருவாக்கப்பட்ட, புதிய பந்தில் சிறந்த மற்றும் வெற்றிகரமான பந்து வீச்சாளர்’ என வர்ணிக்கப்படுகிறார். ஒருநாள் ஆட்டங்களில் 8 விக்கெட்டுகளை வீழ்த்திய ஒரே வீரர் என்ற சாதனையை தற்போதும் வாஸ் தக்க வைத்துள்ளார்.",https://en.wikipedia.org/wiki/Chaminda_Vaas#/media/File:Chaminda_Vaas.jpg,சமிந்தா வாஸ்
SF53,சுனில் நாராய்ன்,இந்திய வம்சாவளியான சுனில் பிலிப் நராய்ன் மேற்கிந்திய தீவு அணிக்காக ஆடும் ஒரு டிரினிடாடியன் கிரிக்கெட் வீரர் ஆவார். முதன்மையாக ஒரு ஸ்பின் பந்துவீச்சாளராக இருக்கிற இவர் ஓர் இடது கை அதிரடி ஆட்டக்காரரும் ஆவார்.,no image available,ஒன்றுமில்லை
SF54,ஜாவித் மியான்டட்,"ஜாவித் மியான்டட் என பிரபலமாக அறியப்படும் முகம்மது ஜாவித் மியான்டட் பாகிஸ்தான் கிரிக்கெட் பயிற்சியாளர், வர்ணனையாளர் மற்றும் முன்னாள் கிரிக்கெட் வீரர். வித்தியாசமான கேப்டன் மற்றும் பேட்டிங் பாணியால் நன்கு அறியப்பட்டவர்.",https://commons.wikimedia.org/wiki/File:Rene_Schoonheim_and_Javed_Miandad_1978.jpg,ரெனெ ஸ்கூன்ஹீம் மற்றும் ஜாவித் மியான்டட்
SF55,இன்சமாம் உல் ஹக்,இன்சி என்றழைக்கப்படும் சையத் இன்சமாம் உல் ஹக் ஒரு முன்னாள் பாகிஸ்தான் கிரிக்கெட் வீரரும் முன்னாள் கேப்டனும் ஆவார்.,https://en.wikipedia.org/wiki/Inzamam-ul-Haq#/media/File:Inzamam-ul-Haq.jpg,இன்சமாம் உல் ஹக்
SF56,ஆலன் டொனால்ட்,"ஆலன் ஆன்டனி டொனால்ட் ஒரு முன்னாள் தென் ஆப்பிரிக்க கிரிக்கெட் வீரர் ஆவார், இப்போது இவர் கிரிக்கெட் பயிற்சியாளராக உள்ளார். இவர் பெரும்பாலும் 'ஓயிட் லைட்னிங்' என அழைக்கப்படுகிறார். தென்னாப்பிரிக்க தேசிய கிரிக்கெட் அணியின் மிக வெற்றிகரமான வேகப்பந்து வீச்சாளர்களில் ஒருவராகக் கருதப்படுகிறார்.",https://en.wikipedia.org/wiki/Allan_Donald#/media/File:Allan_Donald.jpg,ஆலன் டொனால்ட்
SF57,ஜாக்கஸ் காலிஸ்,"ஜாக்கஸ் காலிஸ் ஒரு முன்னாள் தென்னாப்பிரிக்க வீரரும், முன்னாள் டெஸ்ட் மற்றும் ஒருநாள் கேப்டனும் ஆவார். வலது கை பேட்ஸ்மேன் மற்றும் வலது கை மிதவேகப் ஸ்விங் பவுலர், காலிஸ் அனைத்து காலத்திலும் மிகச்சிறந்த கிரிக்கெட் வீரர்களில் ஒருவராகவும், மிகச்சிறந்த ஆல்ரவுண்டராவும் கருதப்படுகிறார்.",https://en.wikipedia.org/wiki/Jacques_Kallis#/media/File:JAQUES_KALLIS_(3175901786).jpg,ஜாக்கஸ் காலிஸ்
SF58,பிரெண்டன் மெக்கலம்,"பிரெண்டன் பார்ரி ""பாஸ்"" மெக்கலம், ஓஎன்இசட்எம் ஒரு முன்னாள் நியூசிலாந்து சர்வதேச கிரிக்கெட் வீரர் ஆவார், அனைத்து வகையான கிரிக்கெட்டிலும் ஆடியுள்ளார், மேலும் ஒரு முன்னாள் கேப்டனாக இருந்துள்ளார். டெஸ்ட் போட்டிகளிலும் மெக்கலம் விரைவான ஸ்கோரை எடுத்துள்ளார், குறிப்பாக எல்லா நேரத்திலும் வேகமாக டெஸ்ட் சதத்தைப் பதிவு செய்துள்ளார். இவர் நியூசிலாந்து கிரிக்கெட்டின் மிக வெற்றிகரமான வீரராகவும், கேப்டனாகவும் கருதப்படுகிறார்.",https://en.wikipedia.org/wiki/Brendon_McCullum#/media/File:England_vs._New_Zealand_2015_(3)_(McCullum_further_cropped).jpg,பிரெண்டன் மெக்கலம்
