Fact Id,Relevant Image,Heading,Fact,Read More Text,Linking article,Article ID
F49,https://en.wikipedia.org/wiki/Kane_Williamson#/media/File:Kane_Williamson_(9773667991).jpg,Youngest player,Kane williamson is the youngest player to score centuries against all test playing nations,Read more about Kane Williamson,Kane Williamson,
F50,https://en.wikipedia.org/wiki/Jos_Buttler#/media/File:Jos_Buttler_2017.jpg,Five Fifties,Jos Butler is the second batsman in IPL history to achieve five scores of fifty or more in consecutive matches,Read more about Jos Butler,Jos Butler,
F51,"https://en.wikipedia.org/wiki/Chris_Gayle#/media/File:Chris_Gayle,_2010_(1).jpg",Gayle storm,"Gayle is the only player in world cricket to hit a triple hundred in Tests, a double hundred in ODIs and a hundred in Twenty20 Internationals ",Read more about Chris Gayle,Chris Gayle,
F52,https://en.wikipedia.org/wiki/Kagiso_Rabada#/media/File:Rabada.jpg,Kagiso Rabada,Rabada is the youngest bowler to take 150 wickets in Test cricket.,Read more about Kagiso Rabada,Kagiso Rabada,
F53,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,300+,Indian cricket team holds the record for most number of times scoring 300+ score: 90 times .,Read more about Indian Cricket Team,Indian cricket team,
F54,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:Australian_World_Cup_treble.jpg,Four World cup finals ,Australian team holds the record for appearing in four consecutive World Cup finals between 1996 - 2007,Read more about Australian Cricket Team,Australian cricket team,
F55,https://en.wikipedia.org/wiki/England_cricket_team#/media/File:The_England_Cricket_Team_Ashes_2015.jpg,Oldest Cricket team,The first recorded incidence of a team with a claim to represent England comes from 9 July 1739,Read more about England Cricket Team,England cricket team,
F56,https://en.wikipedia.org/wiki/West_Indies_cricket_team#/media/File:BrianLaraUkexpat.jpg,West Indies power,West Indies is a multi-national cricket team representing the Anglophone Caribbean region with players selected from a chain of fifteen Caribbean territories,Read more about West indies Cricket Team,West indies team,
F57,https://en.wikipedia.org/wiki/Bangladesh_national_cricket_team#/media/File:Flag_of_Bangladesh.svg,Hat Trick Debut,Taijul Islam became the first bowler ever to take a hat-trick on debut in an ODI against Zimbabwe at Dhaka in 2014,Read more about Bangladesh Cricket Team,Bangladesh Team,
F58,https://en.wikipedia.org/wiki/Afghanistan_national_cricket_team#/media/File:Afghanistan_cricket_board_logo.jpg,Not A-Ban-Doned!,"In 2000, Cricket became the only sport in Afghanistan to be approved by the Taliban and the Afghanistan Cricket Federation was elected as an affiliate member of the ICC the following year ",Read more about Afghanistan Cricket Team,Afghanistan Team,
F59,https://en.wikipedia.org/wiki/Afghanistan_national_cricket_team#/media/File:Afghanistan_cricket_board_logo.jpg,A Bilateral Record,"In 2015, Afghanistan beat Zimbabwe to become the first non-Test-playing country to win a multi-game bilateral ODI series against a Test side",Read more about Afghanistan Cricket Team,Afghanistan Team,
F60,https://en.wikipedia.org/wiki/New_Zealand_national_cricket_team#/media/File:New_Zealand_Cricket_Cap_Insignia.svg,Team of the Match,"In  April 1996, New Zealand achieved a unique world record, where the whole team was adjudged Man of the Match for team performance against 4 run victory over the West Indies. This is recorded as the only time where whole team achieved such an award",Read more about New Zealand Cricket Team,New Zealand Team,
