en,About,Total Area,Population,Other names,Capital,Largest City ,Timezone(s),History,Government ,Prime Minister ,President ,Chief Justice ,Team ,Player ,In Sports,Geography,Culture,Demographics,Languages,Religions
hi,,,,,,,,,,,,,,,,,,,,
ta,,,,,,,,,,,,,,,,,,,,
